# x,y,phi,v_x,v_y,r
0.000000000000000000e+00,0.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.336634159088134766e-05,2.887278787966351956e-05,1.570782980059997946e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
-1.336634159088134766e-05,2.887278787966351956e-05,1.570782980059997946e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
-1.336634159088134766e-05,2.887278787966351956e-05,1.570782980059997946e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
-1.336634159088134766e-05,2.887278787966351956e-05,1.570782980059997946e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
-1.336634159088134766e-05,2.887278787966351956e-05,1.570782980059997946e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
-1.336634159088134766e-05,2.887278787966351956e-05,1.570782980059997946e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
-1.572549263073597103e-05,4.388496017782017589e-05,1.570782986879024179e+00,-1.089433227471491732e-04,5.196004539411277551e-05,3.877800125451358326e-08
-1.572549263073597103e-05,4.388496017782017589e-05,1.570782986879024179e+00,-1.089433227471491732e-04,5.196004539411277551e-05,3.877800125451358326e-08
-1.572549263073597103e-05,4.388496017782017589e-05,1.570782986879024179e+00,-1.089433227471491732e-04,5.196004539411277551e-05,3.877800125451358326e-08
-1.572549263073597103e-05,4.388496017782017589e-05,1.570782986879024179e+00,-1.089433227471491732e-04,5.196004539411277551e-05,3.877800125451358326e-08
-1.572549263073597103e-05,4.388496017782017589e-05,1.570782986879024179e+00,-1.089433227471491732e-04,5.196004539411277551e-05,3.877800125451358326e-08
-1.572549263073597103e-05,4.388496017782017589e-05,1.570782986879024179e+00,-1.089433227471491732e-04,5.196004539411277551e-05,3.877800125451358326e-08
2.071097514999564737e-05,4.668265319196507335e-05,1.570804775212491400e+00,-9.674340826012639170e-04,-7.715347213943851354e-04,4.000152694061398506e-04
2.071097514999564737e-05,4.668265319196507335e-05,1.570804775212491400e+00,-9.674340826012639170e-04,-7.715347213943851354e-04,4.000152694061398506e-04
2.071097514999564737e-05,4.668265319196507335e-05,1.570804775212491400e+00,-9.674340826012639170e-04,-7.715347213943851354e-04,4.000152694061398506e-04
2.071097514999564737e-05,4.668265319196507335e-05,1.570804775212491400e+00,-9.674340826012639170e-04,-7.715347213943851354e-04,4.000152694061398506e-04
2.071097514999564737e-05,4.668265319196507335e-05,1.570804775212491400e+00,-9.674340826012639170e-04,-7.715347213943851354e-04,4.000152694061398506e-04
-2.863332629203796387e-04,8.205338963307440281e-05,1.570767626789224103e+00,-9.131117182767159706e-04,9.264272512201316562e-03,-7.975600892677903175e-04
-2.863332629203796387e-04,8.205338963307440281e-05,1.570767626789224103e+00,-9.131117182767159706e-04,9.264272512201316562e-03,-7.975600892677903175e-04
-2.863332629203796387e-04,8.205338963307440281e-05,1.570767626789224103e+00,-9.131117182767159706e-04,9.264272512201316562e-03,-7.975600892677903175e-04
