timestamp,X,Y,phi,v_x,v_y,r,T,delta,dT,ddelta
1678705307.295, 0.76545, 105.21583, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.305, 0.76545, 105.21583, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.315, 0.76545, 105.21583, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.325, 0.76545, 105.21583, 1.33332, 0.00000, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.335, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.345, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.355, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.365, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.375, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.385, 0.76545, 105.21583, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.395, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.405, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.415, 0.76545, 105.21583, 1.33332, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.425, 0.76545, 105.21583, 1.33332, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.435, 0.76545, 105.21583, 1.33332, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.445, 0.76545, 105.21583, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.455, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.465, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.475, 0.76545, 105.21583, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.485, 0.76545, 105.21583, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.495, 0.76545, 105.21583, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.505, 0.76545, 105.21583, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.515, 0.76545, 105.21583, 1.33332, 0.00000, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.525, 0.76545, 105.21583, 1.33332, 0.00000, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.535, 0.76545, 105.21583, 1.33332, 0.00002, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.545, 0.76545, 105.21583, 1.33332, 0.00002, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.555, 0.76545, 105.21583, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.565, 0.76545, 105.21583, 1.33332, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.575, 0.76545, 105.21583, 1.33332, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.585, 0.76545, 105.21583, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.595, 0.76545, 105.21583, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.605, 0.76545, 105.21583, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.615, 0.76545, 105.21583, 1.33332, -0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.625, 0.76545, 105.21583, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.635, 0.76545, 105.21583, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.645, 0.76545, 105.21583, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.655, 0.76545, 105.21583, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.665, 0.76545, 105.21583, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.675, 0.76545, 105.21582, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.685, 0.76545, 105.21582, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.695, 0.76545, 105.21582, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.705, 0.76545, 105.21582, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.715, 0.76545, 105.21582, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.725, 0.76545, 105.21582, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.735, 0.76545, 105.21582, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.745, 0.76545, 105.21582, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.755, 0.76545, 105.21582, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.765, 0.76545, 105.21582, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.775, 0.76545, 105.21582, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.785, 0.76545, 105.21582, 1.33332, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.795, 0.76545, 105.21582, 1.33332, 0.00001, -0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.805, 0.76545, 105.21582, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705307.815, 0.76545, 105.21582, 1.33332, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.023, 0.00088, 0.00001, 1.57080, 0.00001, -0.01064, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.025, 0.00088, 0.00001, 1.57080, 0.00001, -0.01064, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.035, 0.00088, 0.00001, 1.57080, 0.00001, -0.01064, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.045, 0.00066, 0.00001, 1.57080, 0.00001, 0.01113, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.055, 0.00066, 0.00001, 1.57080, 0.00001, 0.01113, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.065, 0.00066, 0.00001, 1.57080, 0.00001, 0.01113, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.075, 0.00087, 0.00001, 1.57080, 0.00001, -0.01102, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.085, 0.00027, 0.00001, 1.57080, -0.00001, 0.02560, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.095, 0.00027, 0.00001, 1.57080, -0.00001, 0.02560, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.105, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.115, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.125, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.135, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.145, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.155, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.165, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.175, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.185, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.195, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.205, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.215, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.225, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.235, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.245, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.255, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.265, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.275, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.285, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.295, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.305, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.315, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.325, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.335, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.345, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.355, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.365, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.375, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.385, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.395, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.405, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.415, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.425, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.435, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1678705309.445, 0.00027, 0.00001, 1.57080, 0.00000, -0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
