timestamp      ,X         ,Y        ,phi      ,v_x      ,v_y      ,r        ,T        ,delta    ,dT       ,ddelta
1678704578.922 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704578.932 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704578.942 ,-2.94794  ,23.76671 ,2.13894  ,-0.00002 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704578.952 ,-2.94794  ,23.76672 ,2.13894  ,-0.00001 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704578.962 ,-2.94794  ,23.76672 ,2.13894  ,-0.00001 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704578.972 ,-2.94794  ,23.76672 ,2.13894  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704578.982 ,-2.94794  ,23.76672 ,2.13894  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704578.992 ,-2.94794  ,23.76672 ,2.13894  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.002 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.012 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.022 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.032 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.042 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.052 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.062 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.072 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.082 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.092 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.102 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.112 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.122 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.132 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,0.00000  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.142 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,0.00000  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.152 ,-2.94794  ,23.76671 ,2.13894  ,0.00001  ,0.00000  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.162 ,-2.94794  ,23.76671 ,2.13894  ,0.00000  ,0.00000  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.172 ,-2.94794  ,23.76671 ,2.13894  ,0.00000  ,0.00000  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.182 ,-2.94793  ,23.76671 ,2.13894  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.192 ,-2.94793  ,23.76671 ,2.13894  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.202 ,-2.94793  ,23.76671 ,2.13894  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.212 ,-2.94793  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.222 ,-2.94793  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.232 ,-2.94793  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.242 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.252 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.262 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.272 ,-2.94793  ,23.76671 ,2.13894  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.282 ,-2.94793  ,23.76671 ,2.13894  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.292 ,-2.94793  ,23.76671 ,2.13894  ,0.00000  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.302 ,-2.94793  ,23.76671 ,2.13894  ,0.00000  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.312 ,-2.94793  ,23.76671 ,2.13894  ,0.00000  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.322 ,-2.94793  ,23.76671 ,2.13894  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.332 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.342 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.352 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.362 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.372 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.382 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.392 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704579.402 ,-2.94794  ,23.76671 ,2.13894  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.809 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.812 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.822 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.832 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.842 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.852 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.862 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.872 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.882 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.892 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.902 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.912 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.922 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.932 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.942 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.952 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.962 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.972 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.982 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
1678704580.992 ,0.00467   , 0.00019 ,1.57083  ,-0.00000 ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000  ,0.00000
